TransactionID,AccountID,TransactionAmount,TransactionDate,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Balance_Category,Age_Category,Cluster,Cluster_After_FeatureSelection
TX000001,6,14.089999999999975,2023-04-11 16:29:14,51,6,3,29,70.0,81.0,1.0,5112.21,2024-11-04 08:08:08,True,False,False,False,False,False,Moderate,Senior,1,0
TX000002,7,376.24,2023-06-27 16:44:19,56,4,4,25,68.0,141.0,1.0,13758.91,2024-11-04 08:09:35,True,False,False,False,False,False,Very High,Senior,1,0
TX000003,4,126.28999999999999,2023-07-10 18:16:08,56,5,6,26,19.0,56.0,1.0,1122.35,2024-11-04 08:07:04,True,False,True,False,False,True,Low,Young,0,1
TX000004,7,184.5,2023-05-05 16:32:11,55,6,8,29,26.0,25.0,1.0,8569.06,2024-11-04 08:09:06,True,False,True,False,False,True,High,Young,1,0
TX000005,6,13.449999999999989,2023-10-16 17:51:24,57,3,4,27,26.0,198.0,1.0,7429.4,2024-11-04 08:06:39,False,False,True,False,False,True,Moderate,Young,0,1
TX000006,7,92.15,2023-04-03 17:15:01,60,4,4,25,18.0,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,True,False,False,False,False,True,Low,Young,0,1
TX000007,1,7.079999999999984,2023-02-15 16:36:48,57,4,4,29,37.0,139.0,1.0,13316.71,2024-11-04 08:10:09,False,False,False,False,False,False,Very High,Adult,1,0
TX000008,7,171.42,2023-05-08 17:47:59,55,2,7,20,67.0,291.0,1.0,2796.24,2024-11-04 08:10:55,False,True,False,False,True,False,Low,Senior,1,0
TX000009,2,106.23000000000002,2023-03-21 16:59:46,55,6,5,22,51.0,86.0,1.0,9095.14,2024-11-04 08:11:14,False,True,False,True,False,False,High,Mature,1,0
TX000010,5,815.96,2023-03-31 16:06:57,52,3,5,26,55.0,120.0,1.0,1021.8799999999997,2024-11-04 08:06:32,True,False,False,False,False,False,Low,Mature,0,1
TX000011,5,17.78000000000003,2023-03-14 16:46:10,37,2,5,21,52.0,59.0,1.0,7599.52,2024-11-04 08:06:45,False,False,True,True,False,False,High,Mature,1,0
TX000012,7,190.02000000000004,2023-02-06 17:30:00,58,7,4,21,21.0,173.0,1.0,1528.81,2024-11-04 08:07:12,True,False,True,False,False,True,Low,Young,0,1
TX000013,3,494.52,2023-06-07 17:21:28,56,5,4,26,24.0,111.0,1.0,1620.02,2024-11-04 08:08:38,False,True,False,False,False,True,Low,Young,0,1
TX000014,5,781.76,2023-11-20 16:39:15,58,4,4,31,26.0,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,True,False,False,False,False,True,Low,Young,0,1
TX000015,6,166.99,2023-02-13 16:53:57,47,7,4,22,18.0,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,True,False,True,False,False,True,Low,Young,0,1
TX000016,2,465.45,2023-12-12 16:23:31,60,4,7,31,36.0,129.0,1.0,3465.54,2024-11-04 08:12:19,True,False,False,True,False,False,Low,Adult,0,1
TX000017,6,555.8,2023-10-30 16:52:49,50,5,5,21,19.0,158.0,1.0,1131.2600000000002,2024-11-04 08:07:35,False,True,False,False,False,True,Low,Young,0,1
TX000018,6,492.93,2023-12-14 18:32:14,47,4,1,26,39.0,234.0,1.0,5109.97,2024-11-04 08:11:51,True,False,True,True,False,False,Moderate,Adult,0,1
TX000019,9,18.680000000000007,2023-02-21 16:56:50,37,5,3,25,59.0,106.0,1.0,7948.37,2024-11-04 08:12:01,False,True,False,False,True,False,High,Mature,1,0
TX000020,6,71.47999999999999,2023-06-08 18:18:50,47,5,7,23,18.0,169.0,1.0,6568.59,2024-11-04 08:09:20,False,False,True,False,False,True,Moderate,Young,0,1
TX000021,6,59.31999999999999,2023-02-28 16:36:58,63,1,5,25,71.0,38.0,1.0,5750.89,2024-11-04 08:09:24,True,True,False,False,True,False,Moderate,Senior,1,0
TX000022,9,85.76999999999998,2023-08-11 18:31:31,49,5,4,31,38.0,93.0,1.0,9146.19,2024-11-04 08:08:13,True,True,False,False,False,False,High,Adult,1,0
TX000023,7,52.19999999999999,2023-06-06 18:54:15,57,9,9,15,39.0,120.0,1.0,8974.93,2024-11-04 08:07:01,True,False,True,True,False,False,High,Adult,1,0
TX000025,8,145.54,2023-03-02 16:43:56,55,2,1,30,21.0,96.0,1.0,1930.96,2024-11-04 08:07:09,True,False,True,False,False,True,Low,Young,0,1
TX000026,7,7.490000000000009,2023-10-20 17:53:13,56,5,6,22,65.0,276.0,1.0,3634.67,2024-11-04 08:09:44,False,False,True,False,True,False,Low,Senior,1,0
TX000028,4,40.31999999999999,2023-03-29 16:42:38,49,7,4,20,37.0,95.0,1.0,2686.52,2024-11-04 08:11:59,True,True,False,True,False,False,Low,Adult,0,1
TX000029,7,127.44999999999999,2023-01-24 16:18:32,49,6,7,19,44.0,197.0,1.0,1772.06,2024-11-04 08:11:22,True,False,True,False,False,False,Low,Adult,0,1
